[Epoch 0]	Learning rate: 1.00e-4
[56000/80000]	[MSE: 0.0000481309]	30.1+6.5s
[57600/80000]	[MSE: 0.0000480884]	30.3+6.4s
[59200/80000]	[MSE: 0.0000481370]	30.4+6.4s
[60800/80000]	[MSE: 0.0000481039]	30.2+6.3s
[62400/80000]	[MSE: 0.0000480662]	30.3+6.4s
[64000/80000]	[MSE: 0.0000480699]	30.3+6.4s
[65600/80000]	[MSE: 0.0000480600]	30.6+6.5s
[67200/80000]	[MSE: 0.0000481190]	30.8+6.5s
[68800/80000]	[MSE: 0.0000481088]	31.6+6.5s
[70400/80000]	[MSE: 0.0000480967]	32.3+6.4s
[72000/80000]	[MSE: 0.0000480854]	32.2+6.4s
[73600/80000]	[MSE: 0.0000480768]	32.2+6.5s
[75200/80000]	[MSE: 0.0000481190]	32.3+6.5s
[76800/80000]	[MSE: 0.0000481366]	32.1+6.5s
[78400/80000]	[MSE: 0.0000481364]	32.0+6.5s
[80000/80000]	[MSE: 0.0000481197]	31.5+6.6s

Evaluation:
[DenoiseColorSet68 x1]	PSNR: 30.061 (Best: 30.061 @self.epoch 8)
Forward: 192.96s

Saving...
Total: 193.21s

[Epoch 8]	Learning rate: 1.00e-4
[1600/80000]	[MSE: 0.0000479973]	30.7+6.5s
[3200/80000]	[MSE: 0.0000470340]	31.3+6.2s
[4800/80000]	[MSE: 0.0000470528]	31.7+6.4s
[6400/80000]	[MSE: 0.0000472525]	31.8+6.4s
[8000/80000]	[MSE: 0.0000470917]	31.8+6.3s
[9600/80000]	[MSE: 0.0000473229]	31.8+6.3s
[11200/80000]	[MSE: 0.0000473410]	31.7+6.3s
[12800/80000]	[MSE: 0.0000472805]	31.8+6.4s
[14400/80000]	[MSE: 0.0000475044]	32.3+6.5s
[16000/80000]	[MSE: 0.0000476107]	32.2+6.5s
[17600/80000]	[MSE: 0.0000476606]	32.3+6.5s
[19200/80000]	[MSE: 0.0000475577]	31.8+6.5s
[20800/80000]	[MSE: 0.0000477036]	30.8+6.6s
[22400/80000]	[MSE: 0.0000476677]	30.7+6.7s
[24000/80000]	[MSE: 0.0000476623]	30.5+6.5s
[25600/80000]	[MSE: 0.0000476084]	31.4+6.6s
[27200/80000]	[MSE: 0.0000477190]	30.9+6.4s
[28800/80000]	[MSE: 0.0000477793]	31.6+6.4s
[30400/80000]	[MSE: 0.0000477882]	30.3+6.2s
[32000/80000]	[MSE: 0.0000477375]	31.0+6.3s
